Station,Station.Id,State.Code,State.Name,Network.Co,Network.Na,Elevation,Latitude,Longitude,County.Nam,County.Cod,Start.Date,End.Date,Aspect_tif,Slope_tif1,join_lat,join_lon,distance,Station Name,Southness,Lancover_code,Landcover_detail,Koppen_code_ID,Koppen_code_name,KoppenClass,elevation prompt,southness prompt,koppen prompt,landcover prompt
Barker Lakes,313,MT,MONTANA,SNTL,SNOTEL,8250,46.09713,-113.13038,Deer Lodge,23,8/1/1977,1/1/2100,126.20293,5.36516,46.07638041,-113.1386734,0.022345594,Barker Lakes,-0.681683799,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Base Camp,314,WY,WYOMING,SNTL,SNOTEL,7060,43.94019,-110.44544,Teton,39,10/1/1979,1/1/2100,55.58833,5.80228,43.91730631,-110.4654105,0.030372428,Base Camp,-0.265172007,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Basin Creek,315,MT,MONTANA,SNTL,SNOTEL,7180,45.79737,-112.52047,Silver Bow,93,10/1/1976,1/1/2100,336.40356,6.9512,45.79229172,-112.5169843,0.006159447,Basin Creek,-0.599687,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bateman,316,NM,NEW MEXICO,SNTL,SNOTEL,9249,36.51174,-106.31543,Rio Arriba,39,10/1/1978,1/1/2100,40.67889,8.93384,36.53100017,-106.3000939,0.024620095,Bateman,-0.465294481,43,Mixed Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Battle Mountain,317,WY,WYOMING,SNTL,SNOTEL,7498,41.05402,-107.26674,Carbon,7,10/1/1985,1/1/2100,93.87567,10.48455,41.07641933,-107.2947964,0.035901136,Battle Mountain,-0.812549733,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Beagle Springs,318,MT,MONTANA,SNTL,SNOTEL,8850,44.47147,-112.98191,Beaverhead,1,10/1/1976,1/1/2100,94.1339,13.17253,44.48548371,-112.9521667,0.032879318,Beagle Springs,0.566025087,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bear Basin,319,ID,IDAHO,SNTL,SNOTEL,5350,44.95222,-116.14293,Adams,3,10/1/1979,1/1/2100,254.45667,1.79988,44.94002562,-116.1227808,0.02355194,Bear Basin,-0.973800801,42,Evergreen Forest,17,Dsa,Cold-dry_summer-hot_summer,This location has low elevation,This location has low southness,"This location has a continental climate with hot summers and cold winters, featuring significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bear Canyon,320,ID,IDAHO,SNTL,SNOTEL,7900,43.74367,-113.93797,Custer,37,10/1/1979,1/1/2100,332.19244,6.31574,43.74685309,-113.9468691,0.009451281,Bear Canyon,0.022291552,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bear Creek,321,NV,NEVADA,SNTL,SNOTEL,8040,41.83384,-115.45278,Elko,7,3/1/1976,1/1/2100,258.99774,7.15686,41.81504995,-115.4389228,0.0233471,Bear Creek,0.14001603,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Bear Lake,322,CO,COLORADO,SNTL,SNOTEL,9522,40.31176,-105.6467,Larimer,69,10/1/1979,1/1/2100,18.12756,9.36941,40.33778872,-105.616236,0.040069319,Bear Lake,0.041531771,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bear Saddle,324,ID,IDAHO,SNTL,SNOTEL,6180,44.60533,-116.98097,Washington,87,10/1/1979,1/1/2100,230.06487,10.98431,44.59911918,-116.9931454,0.013668048,Bear Saddle,0.746055769,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bear Trap Meadow,325,WY,WYOMING,SNTL,SNOTEL,8200,43.88743,-107.06135,Johnson,19,10/1/1979,1/1/2100,282.09299,16.92991,43.86048857,-107.0461208,0.030947855,Bear Trap Meadow,-0.747934502,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Beartooth Lake,326,WY,WYOMING,SNTL,SNOTEL,9360,44.94307,-109.56743,Park,29,10/1/1979,1/1/2100,2.32562,9.6589,44.94002562,-109.5950458,0.027783149,Beartooth Lake,0.158949685,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Beartown,327,CO,COLORADO,SNTL,SNOTEL,11600,37.71433,-107.5124,San Juan,111,10/1/1979,1/1/2100,131.49446,23.19411,37.7241727,-107.543472,0.032593692,Beartown,-0.839225143,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Beaver Creek,328,MT,MONTANA,SNTL,SNOTEL,7850,44.94966,-111.35852,Gallatin,31,10/1/1966,1/1/2100,233.93858,6.47725,44.94002562,-111.3357752,0.02470119,Beaver Creek,0.021184555,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Beaver Dams,329,UT,UTAH,SNTL,SNOTEL,7990,39.13683,-111.55813,Sanpete,39,6/18/1980,1/1/2100,350.26093,11.53752,39.14461619,-111.5844508,0.027448283,Beaver Dams,0.022829281,22,Developed_Low Intensity,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has urban and suburban areas with low-density development, such as residential areas with single-family homes and associated green spaces."
Beaver Divide,330,UT,UTAH,SNTL,SNOTEL,8280,40.61233,-111.09782,Summit,43,10/1/1978,1/1/2100,264.31665,4.97125,40.62187742,-111.0870995,0.01435553,Beaver Divide,-0.881533026,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Beaver Reservoir,331,OR,OREGON,SNTL,SNOTEL,5150,45.14532,-118.219,Union,61,10/1/1979,1/1/2100,356.10416,11.10771,45.16729658,-118.2365235,0.028107719,Beaver Reservoir,0.447032475,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Ben Lomond Peak,332,UT,UTAH,SNTL,SNOTEL,7689,41.37603,-111.94405,Weber,57,10/1/1978,1/1/2100,14.82669,19.59668,41.36050803,-111.9574642,0.020515176,Ben Lomond Peak,-0.432297163,42,Evergreen Forest,17,Dsa,Cold-dry_summer-hot_summer,This location has moderate elevation,This location has low southness,"This location has a continental climate with hot summers and cold winters, featuring significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Ben Lomond Trail,333,UT,UTAH,SNTL,SNOTEL,5972,41.38291,-111.92103,Weber,57,6/3/1980,1/1/2100,64.70494,11.02801,41.36050803,-111.8952953,0.034119246,Ben Lomond Trail,0.297551133,41,Deciduous Forest,17,Dsa,Cold-dry_summer-hot_summer,This location has low elevation,This location has high southness,"This location has a continental climate with hot summers and cold winters, featuring significant seasonal temperature variation and relatively low precipitation.","This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Berry Creek,334,NV,NEVADA,SNTL,SNOTEL,9377,39.31917,-114.62278,White Pine,33,10/1/1980,1/1/2100,19.26669,20.50935,39.31506941,-114.6307271,0.00894265,Berry Creek,0.910635468,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Berthoud Summit,335,CO,COLORADO,SNTL,SNOTEL,11314,39.80364,-105.77786,Grand,49,9/1/1963,1/1/2100,119.21601,13.83463,39.82642906,-105.8027427,0.033741518,Berthoud Summit,0.941695466,52,Shrub_Scrub,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has very high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Big Bend,336,NV,NEVADA,SNTL,SNOTEL,6898,41.76168,-115.6931,Elko,7,10/1/1978,1/1/2100,69.2494,3.62995,41.75823221,-115.6875985,0.006492635,Big Bend,-0.464947227,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Big Creek Sum,337,NV,NEVADA,SNTL,SNOTEL,8685,39.29148,-117.11506,Lander,15,10/1/1980,1/1/2100,4.40857,50.86428,39.31506941,-117.1174832,0.023713545,Big Creek Sum,-0.168625062,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Big Creek Summit,338,ID,IDAHO,SNTL,SNOTEL,6560,44.62621,-115.79561,Valley,85,10/1/1979,1/1/2100,88.64811,9.31539,44.59911918,-115.8119363,0.031630034,Big Creek Summit,0.084645707,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Big Flat,339,UT,UTAH,SNTL,SNOTEL,10349,38.30183,-112.35672,Beaver,1,10/1/1978,1/1/2100,326.70502,13.18917,38.29235009,-112.3304776,0.027902161,Big Flat,0.583187286,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Big Meadow,340,NV,NEVADA,SNTL,SNOTEL,8235,39.455,-119.9422,Washoe,31,10/1/1983,1/1/2100,58.35698,7.61433,39.42870489,-119.9150839,0.03777187,Big Meadow,-0.228564614,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has high elevation,This location has moderate southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Big Red Mountain,341,OR,OREGON,SNTL,SNOTEL,6050,42.05257,-122.85487,Jackson,29,10/1/1979,1/1/2100,37.85424,16.63667,42.04232091,-122.8370224,0.020581057,Big Red Mountain,-0.791229341,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has low southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Big Sandy Opening,342,WY,WYOMING,SNTL,SNOTEL,9080,42.6458,-109.25965,Sublette,35,3/1/1963,1/1/2100,318.75986,5.67791,42.66731604,-109.2842013,0.032645179,Big Sandy Opening,0.063477277,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Billie Creek Divide,344,OR,OREGON,SNTL,SNOTEL,5280,42.40717,-122.26617,Klamath,35,10/1/1978,1/1/2100,160.26349,6.91581,42.38322734,-122.2775023,0.026489084,Billie Creek Divide,-0.590735541,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has low southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bison Lake,345,CO,COLORADO,SNTL,SNOTEL,10964,39.76458,-107.35628,Garfield,45,9/30/1985,1/1/2100,15.93814,8.69195,39.76961132,-107.3569653,0.00507778,Bison Lake,-0.651330821,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Black Bear,347,MT,MONTANA,SNTL,SNOTEL,8170,44.50832,-111.12803,Gallatin,31,10/1/1967,1/1/2100,68.02431,3.28101,44.48548371,-111.1492685,0.031186025,Black Bear,-0.064180044,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Black Pine,349,MT,MONTANA,SNTL,SNOTEL,7210,46.414,-113.43095,Granite,39,10/1/1965,1/1/2100,153.49783,16.00959,46.41728685,-113.4495179,0.018856576,Black Pine,0.268751516,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Blackwater,350,WY,WYOMING,SNTL,SNOTEL,9780,44.37667,-109.79333,Park,29,10/1/1979,1/1/2100,31.40434,29.15176,44.37184823,-109.7815526,0.012726254,Blackwater,-0.769044751,52,Shrub_Scrub,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Blazed Alder,351,OR,OREGON,SNTL,SNOTEL,3650,45.4287,-121.85605,Clackamas,5,10/1/1979,1/1/2100,181.73772,11.14625,45.45138528,-121.84232,0.026516709,Blazed Alder,-0.879373359,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has low southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Blewett Pass,352,WA,WASHINGTON,SNTL,SNOTEL,4240,47.35037,-120.6796,Chelan,7,10/1/1979,1/1/2100,297.7771,23.36463,47.32637068,-120.6611108,0.030295518,Blewett Pass,0.766047189,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Blind Bull Sum,353,WY,WYOMING,SNTL,SNOTEL,8650,42.964,-110.60973,Sublette,35,10/1/1978,1/1/2100,314.91806,15.07526,42.95140474,-110.5897483,0.023620084,Blind Bull Sum,0.429105769,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has very high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Blind Park,354,SD,SOUTH DAKOTA,SNTL,SNOTEL,6890,44.10772,-103.97688,Pennington,103,10/1/1989,1/1/2100,94.5297,1.53397,44.08775953,-104.1241823,0.148648526,Blind Park,0.959871709,42,Evergreen Forest,25,Dfa,Cold-no_dry_season-hot_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with hot summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bloody Dick,355,MT,MONTANA,SNTL,SNOTEL,7600,45.16507,-113.50099,Beaverhead,1,10/1/1976,1/1/2100,130.85567,2.73481,45.16729658,-113.5116868,0.010926087,Bloody Dick,0.182556755,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Blue Lakes,356,CA,CALIFORNIA,SNTL,SNOTEL,8067,38.608,-119.92437,Alpine,3,10/1/1980,1/1/2100,274.9053,9.6141,38.63325653,-119.9150839,0.026909543,Blue Lakes,-0.0030002,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has high elevation,This location has moderate southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Blue Mountain Spring,357,OR,OREGON,SNTL,SNOTEL,5870,44.24767,-118.51722,Grant,23,10/1/1978,1/1/2100,147.57906,4.5703,44.25821275,-118.547368,0.031938283,Blue Mountain Spring,0.987080222,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has low elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bone Springs Div,358,WY,WYOMING,SNTL,SNOTEL,9350,44.67888,-107.5811,Sheridan,33,10/1/1978,1/1/2100,300.47501,11.28705,44.65593692,-107.6056409,0.033595258,Bone Springs Div,-0.419128431,71,Grassland_Herbaceous,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has areas dominated by grasses and other herbaceous plants, often found in regions with moderate to low rainfall and no trees."
Boulder Mountain,360,MT,MONTANA,SNTL,SNOTEL,7950,46.5596,-111.28973,Meagher,59,10/1/1976,1/1/2100,87.67329,6.19001,46.58774007,-111.2736063,0.032432059,Boulder Mountain,-0.089120757,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bourne,361,OR,OREGON,SNTL,SNOTEL,5850,44.83052,-118.18787,Baker,1,10/1/1978,1/1/2100,193.73647,32.09556,44.82639014,-118.1743546,0.014132279,Bourne,0.316929791,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bowman Springs,362,OR,OREGON,SNTL,SNOTEL,4530,45.36428,-118.46715,Umatilla,59,10/1/1978,1/1/2100,191.89655,10.00298,45.3377498,-118.4851991,0.032087738,Bowman Springs,0.528235072,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Box Canyon,363,MT,MONTANA,SNTL,SNOTEL,6670,45.2719,-110.24903,Park,67,10/1/1976,1/1/2100,2.13858,8.92905,45.28093206,-110.2789038,0.031209321,Box Canyon,-0.255799715,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Box Creek,364,UT,UTAH,SNTL,SNOTEL,9853,38.50809,-112.01856,Sevier,41,8/4/1979,1/1/2100,84.10107,4.69773,38.51962105,-112.0196331,0.011580879,Box Creek,0.750449991,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Brighton,366,UT,UTAH,SNTL,SNOTEL,8766,40.59936,-111.58167,Salt Lake,35,9/24/1986,1/1/2100,306.73154,13.95141,40.62187742,-111.5844508,0.022688472,Brighton,0.406352023,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
